sst,department,storage,limitation
1757,@ha,,
1758,@ha,,
1761,@ha,,
1762,@ha,,
1763,@ha,,
1764,@ha,,
1765,@ha,,
1766,@ha,,
1767,@ha,,
1768,@ha,,
1769,@ha,,
1771,@ha,,
1772,@ha,,
1800,@ha,,
1805,@ha,,
1810,@ha,,
1811,@ha,,
1813,@ha,,
1815,@ha,,
1816,@ha,,
1819,@ha,,
1820,@ha,,
1821,@ha,,
1822,@ha,,
1823,@ha,,
1824,@ha,,
1825,@ha,,
1826,@ha,,
1827,@ha,,
1828,@ha,,
1830,@ha,,
1831,@ha,,
1832,@ha,,
1833,@ha,,
1834,@ha,,
1835,@ha,,
1836,@ha,,
1837,@ha,,
2300,@ha,,
2302,@ha,,
2303,@ha,,
2304,@ha,,
2305,@ha,,
2309,@ha,,
2311,@ha,,
2350,@ha,,
2351,@ha,,
2352,@ha,,
2353,@ha,,
2354,@ha,,
2355,@ha,,
2356,@ha,,
2401,@ha,,
2402,@ha,,
2403,@ha,,
2404,@ha,,
2406,@ha,,
2407,@ha,,
2408,@ha,,
2409,@ha,,
2411,@ha,,
2412,@ha,,
2413,@ha,,
2414,@ha,,
2415,@ha,,
2416,@ha,,
2417,@ha,,
2601,@ha,,
2602,@ha,,
2603,@ha,,
2604,@ha,,
2605,@ha,,
2710,@ha,,
2711,@ha,,
2714,@ha,,
2770,@ha,,
2772,@ha,,
2773,@ha,,
2774,@ha,,
2775,@ha,,
2776,@ha,,
2777,@ha,,
2803,@ha,,
2804,@ha,,
3300,@ha,,
3301,@ha,,
3302,@ha,,
3303,@ha,,
3305,@ha,,
3307,@ha,,
3308,@ha,,
3309,@ha,,
3310,@ha,,
3312,@ha,,
3313,@ha,,
3314,@ha,,
3315,@ha,,
3317,@ha,,
3319,@ha,,
3320,@ha,,
3321,@ha,,
3322,@ha,,
3323,@ha,,
3324,@ha,,
3325,@ha,,
3327,@ha,,
3328,@ha,,
3329,@ha,,
3400,@ha,,
3401,@ha,,
3402,@ha,,
3403,@ha,,
3404,@ha,,
3405,@ha,,
3407,@ha,,
3408,@ha,,
3409,@ha,,
3410,@ha,,
3411,@ha,,
3412,@ha,,
3413,@ha,,
3414,@ha,,
3415,@ha,,
3417,@ha,,
3418,@ha,,
3419,@ha,,
3420,@ha,,
3500,@ha,,
3502,@ha,,
3503,@ha,,
3504,@ha,,
3505,@ha,,
3506,@ha,,
3507,@ha,,
3508,@ha,,
3509,@ha,,
3510,@ha,,
3511,@ha,,
3512,@ha,,
3513,@ha,,
3514,@ha,,
3515,@ha,,
3516,@ha,,
3518,@ha,,
3519,@ha,,
3520,@ha,,
3601,@ha,,
3602,@ha,,
3603,@ha,,
3604,@ha,,
3605,@ha,,
3810,@ha,,
3521,@ha,,
3330,@ha,,
1421,@ha,,
1603,@ha,,
1605,@ha,,
1608,@ha,,
1611,@ha,,
1612,@ha,,
1613,@ha,,
1614,@ha,,
1615,@ha,,
1616,@ha,,
1618,@ha,,
1759,@ha,,
1801,@ha,,
1812,@ha,,
1817,@ha,,
1821,@ha,,
1850,@ha,,
1852,@ha,,
1853,@ha,,
2301,@ha,,
2306,@ha,,
2307,@ha,,
2308,@ha,,
2310,@ha,,
2405,@ha,,
2410,@ha,,
2512,@ha,,
3517,@ha,,
3416,@ha,,
2850,@ha,,
2853,@ha,,
1450,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1469,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2790,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1350,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1422,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1450,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1468,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
