"sst","department","storage"
"28(.)BB2-S74W","@","FB Geisteswissenschaften Semesterapparat: Wodianka,S.Prof. / Regal 16"
"28(.)BB2-S75S","@","FB Geisteswissenschaften Semesterapparat: Langer,J. / Regal 6"
"28(.)BB2-S75W","@","FB Geisteswissenschaften Semesterapparat: Langer,J. / Regal 6"
"28(.)BB2-S76S","@","FB Geisteswissenschaften Semesterapparat: Kuhnert,P. / Regal 7"
"28(.)BB2-S76W","@","FB Geisteswissenschaften Semesterapparat: Kuhnert,P. / Regal 7"
"28(.)BB2-S77S","@","FB Geisteswissenschaften Semesterapparat: Bosse,A.Dr. / Regal 14"
"28(.)BB2-S77W","@","FB Geisteswissenschaften Semesterapparat: Bosse,A.Dr. / Regal 14"
"28(.)BB2-S78S","@","FB Geisteswissenschaften Semesterapparat: Langfeld,A. / Regal 6"
"28(.)BB2-S78W","@","FB Geisteswissenschaften Semesterapparat: Langfeld,A. / Regal 6"
"28(.)BB2-S79S","@","FB Geisteswissenschaften Semesterapparat: Kienzle,B.Prof."
"28(.)BB2-S79W","@","FB Geisteswissenschaften Semesterapparat: Kienzle,B.Prof."
"28(.)BB2-S80S","@","FB Geisteswissenschaften Semesterapparat: Fettig,P./Behns,A. / Regal 6"
"28(.)BB2-S80W","@","FB Geisteswissenschaften Semesterapparat: Fettig,P./Behns,A. / Regal 6"
"28(.)BB2-S81S","@","FB Geisteswissenschaften Semesterapparat: Fettig,P./Schwede-Anders,M.Dr. / Regal 4"
"28(.)BB2-S81W","@","FB Geisteswissenschaften Semesterapparat: Fettig,P./Schwede-Anders,M.Dr. / Regal 4"
"28(.)BB2-S82S","@","FB Geisteswissenschaften Semesterapparat: Haselow,A.Dr. / Regal 3"
"28(.)BB2-S82W","@","FB Geisteswissenschaften Semesterapparat: Haselow,A.Dr. / Regal 3"
"28(.)BB2-S83S","@","FB Geisteswissenschaften Semesterapparat: Crocco,G.Prof. / Regal 15"
"28(.)BB2-S83W","@","FB Geisteswissenschaften Semesterapparat: Crocco,G.Prof. / Regal 15"
"28(.)BB2-S84S","@","FB Geisteswissenschaften Semesterapparat: Behns,A. / Regal 6"
"28(.)BB2-S84W","@","FB Geisteswissenschaften Semesterapparat: Behns,A. / Regal 6"
"28(.)BB2-S85S","@","FB Geisteswissenschaften Semesterapparat: Schmitt-Kilb,Ch.Prof. / Regal 3"
"28(.)BB2-S85W","@","FB Geisteswissenschaften Semesterapparat: Schmitt-Kilb,Ch.Prof. / Regal 3"
"28(.)BB2-S86","@","FB Geisteswissenschaften Semesterapparat: Grundschulpädagogik / Regal 8"
"28(.)BB2-S87","@","FB Geisteswissenschaften Semesterapparat: Sachunterricht / Regal 8"
"28(.)BB2-S88S","@","-"
"28(.)BB2-S88W","@","-"
"28(.)BB2-S89S","@","-"
"28(.)BB2-S89W","@","-"
"28(.)BB2-S90S","@","-"
"28(.)BB2-S90W","@","-"
"28(.)BB3-S00","@","BB Südstadt Semesterapparat: Bizeul, Y. Prof. - Les intellectuels en France / The intellectuals in France"
"28(.)BB3-S01","@","BB Südstadt Semesterapparat: Bredtmann, T. - Internationale Organisationen"
"28(.)BB3-S02","@","BB Südstadt Semesterapparat: Bizeul, Y. Prof. - Montesquieu: Vom Geist der Gesetze / Montesquieu: The Spirit of the Laws"
"28(.)BB3-S03","@","BB Südstadt Semesterapparat: Bizeul, Y. Prof. - Theorien der Nation und des Nationalismus / Nation and Nationalism Theories"
"28(.)BB3-S04","@","BB Südstadt Semesterapparat: Bizeul, Y. Prof. - Politische Theorien der Gegenwart (II) / Political Theory Today (II)"
"28(.)BB3-S05","@","BB Südstadt Semesterapparat: Gottschlich,P.Dr. - Einführung in die Theorien der Internationalen Beziehungen"
"28(.)BB3-S06","@","BB Südstadt Semesterapparat: Gottschlich,P.Dr. - Indien: Föderalismus und Regionalstaaten"
"28(.)BB3-S07","@","BB Südstadt Semesterapparat: Gottschlich,P.Dr. - Die Präsidentschaftswahl in den USA 2016"
"28(.)BB3-S08","@","BB Südstadt Semesterapparat: Homölle,S.Prof."
"28(.)BB3-S09","@","BB Südstadt Semesterapparat: Dosch,J.Prof."
"28(.)BB3-S10","@","BB Südstadt Semesterapparat: Hübner-O.,C.Dr. - Lobbyismus als Politikberatung"
"28(.)BB3-S11","@","BB Südstadt Semesterapparat: Hübner-O.,C.Dr. - Migration und Integration in den demokratischen Verfassungsstaat"
"28(.)BB3-S12","@","BB Südstadt Semesterapparat: Heinrich,J. - Kernwaffen in Asien: Probleme und Perspektiven"
"28(.)BB3-S13","@","BB Südstadt Semesterapparat: Heinrich,J. - Einführung in die Entwicklungspolitik der Bundesrepublik Deutschland"
"28(.)BB3-S14","@","BB Südstadt Semesterapparat: Pfeiffer,Ch. - Einführung in Lateinamerika: Politik - Gesellschaft - Kultur"
"28(.)BB3-S15","@","BB Südstadt Semesterapparat: Das politische System der BRD"
"28(.)BB3-S16","@","BB Südstadt Semesterapparat: Meyer zu Natrup, F. Dr. - Islamischer Staat"
"28(.)BB3-S17","@","BB Südstadt Semesterapparat: Müller, J. - Einführung in die Policy-Forschung"
"28(.)BB3-S18","@","BB Südstadt Semesterapparat: Müller, J. - Neuere Klassiker der deutschen Politikwissenschaft"
"28(.)BB3-S19","@","BB Südstadt Semesterapparat: Klassiker des politischen Denkens"
"28(.)BB3-S20","@","BB Südstadt Semesterapparat: Nestler,Ch. - Systemwechsel im 20. Jahrhundert"
"28(.)BB3-S21","@","BB Südstadt Semesterapparat: Nestler.Ch. -  Universität in Deutschland - Verflechtungen zwischen Politik und Wissenschaft"
"28(.)BB3-S22","@","BB Südstadt Semesterapparat: -"
"28(.)BB3-S23","@","BB Südstadt Semesterapparat: -"
"28(.)BB3-S24","@","BB Südstadt Semesterapparat: Werz,N.Prof. - Adel und Bürgertum in Mecklenburg-Vorpommern"
"28(.)BB3-S25","@","BB Südstadt Semesterapparat: Werz,N.Prof. - Universität und Politik: Die Politikwissenschaft und ihre Vorläufer an der Universität Rostock"
"28(.)BB3-S26","@","BB Südstadt Semesterapparat: Meyer zu Natrup, F. Dr. - Rechtspopulismus"
"28(.)BB3-S27","@","-"
"28(.)BB3-S28","@","-"
"28(.)BB3-S29","@","-"
"28(.)BB3-S30","@","-"
"28(.)BB3-S31","@","-"
"28(.)BB3-S32","@","-"
"28(.)BB3-S33","@","-"
"28(.)BB3-S34","@","-"
"28(.)BB3-S35","@","BB Südstadt Semesterapparat: Kollektive Identität"
"28(.)BB3-S36","@","BB Südstadt Semesterapparat: Pflichtlekt.Mod.B"
"28(.)BB3-S37","@","BB Südstadt Semesterapparat: Pflichtlekt.Mod.E"
"28(.)BB3-S38","@","BB Südstadt Semesterapparat: Pflichtlekt.Mod.C,F,P,J"
"28(.)BB3-S39","@","-"
"28(.)BB3-S40","@","BB Südstadt Semesterapparat: Einführung Politik"
"28(.)BB3-S41","@","BB Südstadt Semesterapparat: Einführung Soziologie"
"28(.)BB3-S42","@","BB Südstadt Semesterapparat: Einführung Demographie"
"28(.)BB3-S43","@","-"
"28(.)BB3-S44","@","-"
"28(.)BB3-S45","@","-"
"28(.)BB3-S46","@","-"
"28(.)BB3-S47","@","-"
"28(.)BB3-S48","@","-"
"28(.)BB3-S49","@","-"
"28(.)BB3-S50","@","BB Südstadt Semesterapparat: Fachdidaktik Sozialwissenschaften"
"28(.)BB1-H000","@","Handapparat H000"
"28(.)BB1-H001","@","Handapparat H001"
"28(.)BB1-H002","@","Handapparat H002"
"28(.)BB1-H003","@","Handapparat H003"
"28(.)BB1-H004","@","Handapparat H004"
"28(.)BB1-H005","@","Handapparat H005"
"28(.)BB1-H006","@","Handapparat H006"
"28(.)BB1-H007","@","Handapparat H007"
"28(.)BB1-H008","@","Handapparat H008"
"28(.)BB1-H009","@","Handapparat H009"
"28(.)BB1-H010","@","Handapparat H010"
"28(.)BB1-H011","@","Handapparat H011"
"28(.)BB1-H012","@","Handapparat H012"
"28(.)BB1-H013","@","Handapparat H013"
"28(.)BB1-H014","@","Handapparat H014"
"28(.)BB1-H015","@","Handapparat H015"
"28(.)BB1-H016","@","Handapparat H016"
"28(.)BB1-H017","@","Handapparat H017"
"28(.)BB1-H018","@","Handapparat H018"
"28(.)BB1-H019","@","Handapparat H019"
"28(.)BB1-H020","@","Handapparat H020"
"28(.)BB1-H021","@","Handapparat H021"
"28(.)BB1-H022","@","Handapparat H022"
"28(.)BB1-H023","@","Handapparat H023"
"28(.)BB1-H024","@","Handapparat H024"
"28(.)BB1-H025","@","Handapparat H025"
"28(.)BB1-H026","@","Handapparat H026"
"28(.)BB1-H027","@","Handapparat H027"
"28(.)BB1-H028","@","Handapparat H028"
"28(.)BB1-H029","@","Handapparat H029"
"28(.)BB1-H030","@","Handapparat H030"
"28(.)BB1-H031","@","Handapparat H031"
"28(.)BB1-H032","@","Handapparat H032"
"28(.)BB1-H033","@","Handapparat H033"
"28(.)BB1-H034","@","Handapparat H034"
"28(.)BB1-H035","@","Handapparat H035"
"28(.)BB1-H036","@","Handapparat H036"
"28(.)BB1-H037","@","Handapparat H037"
"28(.)BB1-H038","@","Handapparat H038"
"28(.)BB1-H039","@","Handapparat H039"
"28(.)BB1-H040","@","Handapparat H040"
"28(.)BB1-H041","@","Handapparat H041"
"28(.)BB1-H042","@","Handapparat H042"
"28(.)BB1-H043","@","Handapparat H043"
"28(.)BB1-H044","@","Handapparat H044"
"28(.)BB1-H045","@","Handapparat H045"
"28(.)BB1-H046","@","Handapparat H046"
"28(.)BB1-H047","@","Handapparat H047"
"28(.)BB1-H048","@","Handapparat H048"
"28(.)BB1-H049","@","Handapparat H049"
"28(.)BB1-H050","@","Handapparat H050"
"28(.)BB1-H051","@","Handapparat H051"
"28(.)BB1-H052","@","Handapparat H052"
"28(.)BB1-H053","@","Handapparat H053"
"28(.)BB1-H054","@","Handapparat H054"
"28(.)BB1-H055","@","Handapparat H055"
"28(.)BB1-H056","@","Handapparat H056"
"28(.)BB1-H057","@","Handapparat H057"
"28(.)BB1-H058","@","Handapparat H058"
"28(.)BB1-H059","@","Handapparat H059"
"28(.)BB1-H060","@","Handapparat H060"
"28(.)BB1-H061","@","Handapparat H061"
"28(.)BB1-H062","@","Handapparat H062"
"28(.)BB1-H063","@","Handapparat H063"
"28(.)BB1-H064","@","Handapparat H064"
"28(.)BB1-H065","@","Handapparat H065"
"28(.)BB1-H066","@","Handapparat H066"
"28(.)BB1-H067","@","Handapparat H067"
"28(.)BB1-H068","@","Handapparat H068"
"28(.)BB1-H069","@","Handapparat H069"
"28(.)BB1-H070","@","Handapparat H070"
"28(.)BB1-H071","@","Handapparat H071"
"28(.)BB1-H072","@","Handapparat H072"
"28(.)BB1-H073","@","Handapparat H073"
"28(.)BB1-H074","@","Handapparat H074"
"28(.)BB1-H075","@","Handapparat H075"
"28(.)BB1-H076","@","Handapparat H076"
"28(.)BB1-H077","@","Handapparat H077"
"28(.)BB1-H078","@","Handapparat H078"
"28(.)BB1-H079","@","Handapparat H079"
"28(.)BB1-H080","@","Handapparat H080"
"28(.)BB1-H081","@","Handapparat H081"
